Mgg [GeV],Nevents,sigma,hypothesis,generating_function
2530.0,0,,0.11593663969681825,0.06111441583156376
2550.0,0,,0.11163142328000006,0.058575883465693535
2570.0,0,,0.10751619472592065,0.056159559563428156
2590.0,0,,0.10358124800202562,0.05385875276397015
2610.0,0,,0.0998174399339625,0.051667182223632147
2630.0,0,,0.09621615371680733,0.049578949735669786
2650.0,0,,0.09276926503860276,0.047588513925382
2670.0,0,,0.08946911061171595,0.04569066635258205
2690.0,0,,0.08630845892488201,0.043880509368200794
2710.0,0,,0.08328048304457554,0.04215343558507618
